"lawyer", "ügyvéd"
  "work", "dolgozik"
  "artist", "művész"
  "policeman", "rendőr"
  "boss", "főnök"
  "soldier", "katona"
  "cook", "szakács"
  "actor", "színész"
  "actress", "színésznő" 
  "postal worker", "postas"
  "worker", "munkás"
  "writer", "író"
  "write", "ír"
  "kindergarten teacher", "óvónő"
  "firefighter", "tűzoltó"
  "politician", "politikus"
  "director", "rendező"
  "athlete", "sportoló"
  "composer", "zeneszerző"
  "secretary", "titkárnő"
  "tired", "fáradt"
  "always", "mindig"
  "angry", "mérges"
  "at home", "itthon"
  "beer", "sör"
  "bieng inside", "ban/ben"
  "bird", "madár"
  "book", "könyv"
  "bore", "untat"
  "boring", "unalmas"
  "boy", "fiú"
  "calm / relaxed", "nyugodt"
  "chair", "szék"
  "classroom", "tanterem"
  "coffee", "kávé"
  "dance", "táncol"
  "dictionary", "szotar"
  "do", "csinál"
  "doctor", "orvos"
  "drink", "inni / iszik"
  "eat", "enni / eszik"
  "evening", "este"
  "excuse me", "elnézést"
  "fly", "repül"
  "French", "franciaul"
  "fruit", "gyümölcs"
  "garden", "kert"
  "girl", "lány"
  "are you happy", "orulsz"
  "goodbye", "viszlat / viszontlátásra"
  "happy", "boldog"
  "here", "itt"
  "hi", "szia"
  "how are you", "hogy"
  "hungry", "éhes"
  "hurry", "siet"
  "I", "En"
  "in love", "szerelmes"
  "inside", "bent"
  "is", "van"
  "lamp", "lámpa"
  "learning", "tanul"
  "library", "könyvtár"
  "live", "él"
  "looking for", "keresek"
  "lucky", "szerencsés"
  "man", "férfi"
  "meat", "hús"
  "milk", "tej"
  "morning", "reggel"
  "night", "éjszaka"
  "notebook", "füzet"
  "now", "most"
  "ok / fine / well", "jól"
  "only", "szak"
  "orange", "narancs"
  "there is none", "nincs"
  "outside", "kint"
  "pen", "toll"
  "pencil", "ceruza"
  "perfect", "tökéletes"
  "quiet", "csendes"
  "read", "olvas"
  "recess", "szünet"
  "rest", "pihen"
  "restaurant", "étterem"
  "run", "fut"
  "sad", "szomorú"
  "school", "iskola"
  "see", "lát"
  "sick", "rosszul / beteg"
  "sing", "énekel"
  "sit", "ül"
  "sleepy", "álmos"
  "sorry", "bocs"
  "stand", "áll"
  "store", "bolt / üzlet"
  "student", "diák"
  "teacher", "tanár"
  "terrible", "szörnyű"
  "text", "szöveg"
  "thank you", "köszönöm"
  "there", "ott"
  "thirsty", "szomjas"
  "this", "ez"
  "unfortunately", "sajnos"
  "vegetable", "zöldség"
  "very / very much", "nagyon"
  "very much", "szepen"
  "wait", "vár"
  "walk", "séta"
  "water", "víz"
  "weak", "gyenge"
  "what", "mit"
  "where", "hol"
  "wine", "bor"
  "woman", "nő"
  "You", "Te"
  "you are welcome", "szívesen"
  "wish", "kíván"
  "day", "napot"
  "what is your name", "Hogy hivnak / hivjak"
  "fresh", "friss"
  "two", "kettő / két"
  "one", "egy"
  "cat", "macska"
  "three", "három"
  "rice", "rizs"
  "bitter", "keserű"
  "dog", "kutya"
  "engineer", "mérnök"
  "four", "négy"
  "lunch", "ebéd"
  "five", "öt"
  "eight", "nyolc"
  "cherry", "cseresznye"
  "judge", "bíró"
  "honey", "méz"
  "six", "hat"
  "cucumber", "uborka"
  "few", "kevés"
  "many", "sok"
  "too", "túl"
  "enough", "elég"
  "some", "néhány"
  "bread", "kenyér"
  "slice", "szelet"
  "beef", "marhahús"
  "pork", "disznóhús"
  "whole", "egész"
  "half", "fél"
  "tomato", "paradicsom"
  "one and a half", "másfél"
  "nine", "kilenc"
  "potato", "krumpli"
  "shout", "kiabálás"
  "stay", "marad"
  "buy", "vesz / "
  "read", "olvas"
  "building", "épület"
  "bank", "bank"
  "city", "város"
  "new", "új"
  "old", "régi"
  "in front of", "előtt"
  "train station", "pályaudvar"
  "behind", "mögött"
  "river", "folyó"
  "under", "alatt"
  "next to", "mellett"
  "carrot", "répa"
  "tasty", "finom"
  "pasta", "tészta"
  "stop (transport)", "megálló"
  "bus stop", "buszmegálló"
  "between", "között"
  "closed", "zárva"
  "open", "nyitva"
  "swim", "úszik"
  "because", "mert"
  "child", "gyerek"
