infinitive avere,иметь
io ho,я имею
tu hai,ты имеешь
lui/lei ha,он/она имеет
noi abbiamo,мы имеем
voi avete,вы имеете
loro hanno,они имеют
infinitive essere,являться
io sono,я являюсь
tu sei,ты являешься
lui/lei è,он/она является
noi siamo,мы являемся
voi siete,вы являетесь
loro sono,они являются
infinitive stare,находиться
io sto,я нахожусь
tu stai,ты находишься
lui/lei sta,он/она находится
noi stiamo,мы находимся
voi state,вы находитесь
loro stanno,они находятся
infinitive fare,делать
io faccio,я делаю
tu fai,ты делаешь
lui/lei fa,он/она делает
noi facciamo,мы делаем
voi fate,вы делаете
loro fanno,они делают
infinitive andare,идти
io vado,я иду
tu vai,ты идёшь
lui/lei va,он/она идёт
noi andiamo,мы идём
voi andate,вы идёте
loro vanno,они идут
