"Русский перевод","Итальянский глагол"
"быть","essere"
"я есть","io sono"
"ты есть","tu sei"
"он/она есть","lui/lei è"
"мы есть","noi siamo"
"вы есть","voi siete"
"они есть","loro sono"
"иметь","avere"
"у меня есть","io ho"
"у тебя есть","tu hai"
"у него/неё есть","lui/lei ha"
"у нас есть","noi abbiamo"
"у вас есть","voi avete"
"у них есть","loro hanno"
"идти/ехать","andare"
"я иду","io vado"
"ты идешь","tu vai"
"он/она идет","lui/lei va"
"мы идем","noi andiamo"
"вы идете","voi andate"
"они идут","loro vanno"
"делать","fare"
"я делаю","io faccio"
"ты делаешь","tu fai"
"он/она делает","lui/lei fa"
"мы делаем","noi facciamo"
"вы делаете","voi fate"
"они делают","loro fanno"
"мочь","potere"
"я могу","io posso"
"ты можешь","tu puoi"
"он/она может","lui/lei può"
"мы можем","noi possiamo"
"вы можете","voi potete"
"они могут","loro possono"
"хотеть","volere"
"я хочу","io voglio"
"ты хочешь","tu vuoi"
"он/она хочет","lui/lei vuole"
"мы хотим","noi vogliamo"
"вы хотите","voi volete"
"они хотят","loro vogliono"
"быть должным","dovere"
"я должен","io devo"
"ты должен","tu devi"
"он/она должен/должна","lui/lei deve"
"мы должны","noi dobbiamo"
"вы должны","voi dovete"
"они должны","loro devono"
"говорить/сказать","dire"
"я говорю","io dico"
"ты говоришь","tu dici"
"он/она говорит","lui/lei dice"
"мы говорим","noi diciamo"
"вы говорите","voi dite"
"они говорят","loro dicono"
"приходить/приезжать","venire"
"я прихожу","io vengo"
"ты приходишь","tu vieni"
"он/она приходит","lui/lei viene"
"мы приходим","noi veniamo"
"вы приходите","voi venite"
"они приходят","loro vengono"
"давать","dare"
"я даю","io do"
"ты даешь","tu dai"
"он/она дает","lui/lei dà"
"мы даем","noi diamo"
"вы даете","voi date"
"они дают","loro danno"
"находиться/быть","stare"
"я нахожусь","io sto"
"ты находишься","tu stai"
"он/она находится","lui/lei sta"
"мы находимся","noi stiamo"
"вы находитесь","voi state"
"они находятся","loro stanno"
"знать/уметь","sapere"
"я знаю","io so"
"ты знаешь","tu sai"
"он/она знает","lui/lei sa"
"мы знаем","noi sappiamo"
"вы знаете","voi sapete"
"они знают","loro sanno"
"выходить","uscire"
"я выхожу","io esco"
"ты выходишь","tu esci"
"он/она выходит","lui/lei esce"
"мы выходим","noi usciamo"
"вы выходите","voi uscite"
"они выходят","loro escono"
"выбирать","scegliere"
"я выбираю","io scelgo"
"ты выбираешь","tu scegli"
"он/она выбирает","lui/lei sceglie"
"мы выбираем","noi scegliamo"
"вы выбираете","voi scegliete"
"они выбирают","loro scelgono"
"оставаться","rimanere"
"я остаюсь","io rimango"
"ты остаешься","tu rimani"
"он/она остается","lui/lei rimane"
"мы остаемся","noi rimaniamo"
"вы остаетесь","voi rimanete"
"они остаются","loro rimangono"
"включать/зажигать","accendere"
"я включаю","io accendo"
"ты включаешь","tu accendi"
"он/она включает","lui/lei accende"
"мы включаем","noi accendiamo"
"вы включаете","voi accendete"
"они включают","loro accendono"
"пить","bere"
"я пью","io bevo"
"ты пьёшь","tu bevi"
"он/она пьёт","lui/lei beve"
"мы пьём","noi beviamo"
"вы пьёте","voi bevete"
"они пьют","loro bevono"
"спрашивать/просить","chiedere"
"я спрашиваю","io chiedo"
"ты спрашиваешь","tu chiedi"
"он/она спрашивает","lui/lei chiede"
"мы спрашиваем","noi chiediamo"
"вы спрашиваете","voi chiedete"
"они спрашивают","loro chiedono"
"закрывать","chiudere"
"я закрываю","io chiudo"
"ты закрываешь","tu chiudi"
"он/она закрывает","lui/lei chiude"
"мы закрываем","noi chiudiamo"
"вы закрываете","voi chiudete"
"они закрывают","loro chiudono"
"бежать","correre"
"я бегу","io corro"
"ты бежишь","tu corri"
"он/она бежит","lui/lei corre"
